"Name","Description","Latitude","Longitude"
,,0,0
,,42.3734312,-71.1172197
,,42.37372250000001,-71.11748559999998
,,42.3735186,-71.1178457
,,42.37441730000002,-71.1175152
,,42.37447349999999,-71.117206
,,42.37421209999999,-71.1175798
,,42.37447900000001,-71.11721700000001
,,42.3745002,-71.1175067
,,42.37440609999997,-71.1169022
,,42.37377599999999,-71.1181471
,,42.37419210000001,-71.11678420000001
,,42.3742872,-71.1173065
,,42.37402709999999,-71.11799650000002
,,42.37409500000001,-71.1173404
,,42.37453320000002,-71.1174252
,,42.37415490000001,-71.1175355
,,42.37401399999998,-71.117656
,,42.37404000000002,-71.117958
,,42.37318650000002,-71.11689650000001
,,42.37402889999998,-71.11797129999998
,,42.37350000000002,-71.1171
,,42.3735345,-71.11783999999999
,,42.37399389999999,-71.1176797
,,42.37378219999999,-71.11763850000001
,,42.372809,-71.11669899999998
,,42.37290409999999,-71.11666350000002
,,42.37318920000001,-71.1169793
,,42.37389999999998,71.1177
,,42.37,-71.11000000000001
,,42.37355059999997,-71.1177441
,,42.37386170000001,-71.1163487
,,42.37,-71.11699999999999
,,42.3733911,-71.1169867
Green A,,42.37536660000003,-71.1175191
Green B,,42.37470800000001,-71.1173384
Blue A,,42.37535939999999,-71.1168784
Blue B,,42.37413070000001,-71.11734949999999
Yellow A,,42.37359189999999,-71.11705470000001
Yellow B,,42.37386709999998,-71.1184961
Pink A,,42.3754919,-71.1175687
Pink B,,42.37430000000003,-71.1176733
Orange A,,42.37338600000002,-71.11709
Orange B,,42.37364500000002,-71.118391
Harvard Hall Front Door,,42.37473088500818,-71.1182180021676
Point A GREEN,,42.37381234902296,-71.1186033986758
Point B GREEN,,42.3736687526671,-71.117226006613
Common End Point,,42.37411894737451,-71.11763779842717
Harvard Hall Back Door,,42.37493383965498,-71.11817156307613
Point A BLUE,,42.37536693790244,-71.11748136602739
Point B BLUE,,42.37464026705068,-71.11791007038859
Common End Point,,42.37411894737451,-71.11763779842717
Harvard Hall Front Door,,42.37473088500818,-71.1182180021676
Point A ORANGE,,42.37360437678848,-71.11709530273046
Point B ORANGE,,42.37383720462301,-71.11809142063332
Common End Point,,42.37411894737451,-71.11763779842717
Harvard Hall Back Door,,42.37493383965498,-71.11817156307613
Point A PINK,,42.37550886402229,-71.11785213834585
Point B PINK,,42.37477527125883,-71.11766353869446
Common End Point,,42.37411894737451,-71.11763779842717
Harvard Hall Back Door,,42.37493383965498,-71.11817156307613
Point A YELLOW,,42.37532968706709,-71.11709992793024
Point B YELLOW,,42.37473459195671,-71.11699491030842
Common End Point,,42.37411894737451,-71.11763779842717
The Eiffel Tower,"Located in Paris, France",48.85780097266282,2.295967680887427
Christ the Redeemer,"Located in Rio, Brazil",-22.95040715767599,-43.20953574843956
The Grand Canyon,"Located in Arizona, USA",36.14936973429993,-111.839335188889
Sydney,"New South Wales, Australia",-33.85543600090152,151.2122001847845
St Peters Basilica,Located in Vatican City,41.90238356414683,12.45863229278517
The London Eye,"Located in London, England",51.50295856070689,-0.1208037863755851
The Titanic,Located in the North Atlantic Ocean,41.72834170105288,-49.94881009327763
The Forbidden City,Located in China,39.91379916102216,116.3908088768236
Mount Fuji,"Located near Tokyo, Japan",35.34063009043844,138.7818265722904
Google Headquarters,"Located in Mountain View, California",37.42169546752972,-122.0857031353512
